utterance_id,room_x,room_y,room_z,micL_x,micL_y,micR_x,micR_y,mic_z,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,T60
445c0206_0.60431_22gc0105_-0.60431.wav,5.83651122743679,6.6110890844828845,3.092753198327738,2.7166943515695214,3.226317129678222,2.841637979540242,3.111038815024016,1.063949886859429,3.1571607573777998,4.0074303459584355,1.507163622399847,3.261539402086396,4.615766476958414,0.9077376648012259,0.7544219702368073
420c020h_1.1139_442c0203_-1.1139.wav,9.888189636775358,9.413381871957025,3.7906885117690283,4.960187862256413,4.593078180766742,5.1037828750253365,4.502081080220117,1.4632143201960501,6.510453664940441,3.853754551593934,1.5716994534487938,5.9924196607071165,3.0991425833833235,1.3735038811155853,0.7904014670738478
22go0107_0.079969_051c010u_-0.079969.wav,6.230462449866413,6.646566842974959,3.8856903413972903,3.2083592702571595,3.347449621534416,3.1365858720520823,3.204451092485704,0.9647349213338506,3.6931540004089283,5.165055353928156,1.341320264512672,4.36136387005525,1.747276643480501,1.547001081231687,0.5239322826528535
444o0314_2.1819_053o020e_-2.1819.wav,6.010885559027832,5.319660813459231,3.0779947294388332,2.8999782589433742,2.573252359521222,2.789638258055133,2.4716399380168466,1.456266540025477,2.952094390845921,1.5546074588023697,1.128541947609789,4.705249357238325,3.0702888638811583,1.1075249302572614,0.21054153642830148
423o0304_1.419_420c020x_-1.419.wav,7.503709328712538,5.6818489138855135,3.0257161438716618,3.9279462531204077,2.6902798487632933,3.75841622893583,2.677647711177895,1.091565722057815,2.5856502614805557,1.7260450099539453,1.5257983475071522,2.2678263577848874,3.635385632666128,1.3600305216350599,0.4879987350995725
423o030b_1.4753_053o0209_-1.4753.wav,6.632820913429361,9.35586139642673,3.3453241612432225,3.3966112997902886,4.816143147187638,3.284470340529463,4.688376151229912,1.1725231693958635,4.588772032228442,4.43896767520827,1.024147498962165,4.683882008776187,5.18474723147712,1.1214661399287216,0.9666610734221532
441o030o_1.9903_445c020y_-1.9903.wav,6.371569053959076,8.584448953135052,3.052422929026598,3.0594403691103764,4.376608059909767,3.0577184670569455,4.546599339254675,1.179379979344707,4.435049711196172,3.8084860731046306,1.1493702966365922,4.124624612419532,3.465075756008839,1.1213582096438925,0.7282209612997965
22ga010u_0.43921_443o030l_-0.43921.wav,7.211039280798398,8.35572014420124,3.184551482968449,3.6177057897658873,4.094306340878061,3.6169109114863964,4.244304234758344,1.3772019125805475,5.284405495171178,5.137406681797789,1.2507277965346932,4.2608190600320635,2.4195490437139853,1.5373456815759003,0.245511437948355
444o030e_0.90493_443o0304_-0.90493.wav,7.955568012291902,5.923909623789352,3.9527218339603762,3.739248589263984,2.8327116439860642,3.884653035595596,2.795866739494433,1.1843199421223203,4.021674530654396,1.9720119232046387,1.4199105500386524,5.3194115470376895,3.9974037872381887,1.4045055255398389,0.4631819688399963
440c0209_1.2048_421a0104_-1.2048.wav,8.625074458778474,9.4463449533736,3.8500535634843116,4.249020189126438,4.724172321083695,4.230707422262529,4.893183097573799,1.10798853062539,2.7934481860029967,5.0122872846176865,1.6849715701093637,3.158032718557174,4.663800767808254,1.760375773311043,0.5400103904821918
445c020u_0.78863_443o030p_-0.78863.wav,8.061804855665038,9.547365671932992,3.771729831156692,3.8900465669604585,4.787341268517516,3.8016186223807433,4.6539977324259345,1.7097462305111963,2.0982223490055336,3.9788237592379314,1.0483948958754286,3.627958528170934,4.009618205543152,1.4821399658004584,0.944663517343676
440c020t_2.1632_053o020y_-2.1632.wav,7.386511098116244,9.00233020206119,3.6191011634787045,3.6944571235243284,4.54542837130927,3.6317792675976017,4.6817056121693215,1.5448610108637535,4.889888404472053,5.729255966166814,1.6298920895400446,4.591051095154424,3.8960326554984417,0.9997208492377834,0.4423224754458046
440c0213_1.7151_441o030b_-1.7151.wav,5.5738716878257195,5.732596333621526,3.169545209668004,2.9912299165275313,2.7527686259456865,2.8425004466357167,2.733286716755368,0.9359791163125822,4.126494209089833,4.308064346659026,1.4842722649955808,4.869526536129252,2.8317463588359137,1.0100316969763157,0.4316643413794874
052a0513_1.7991_053a050f_-1.7991.wav,7.454652487085623,5.1674999628171205,3.6321376674046095,3.8032225090725884,2.376163289247696,3.7369419379953124,2.5327100423206046,1.5164091245025224,4.430408706287938,2.5380889750357376,1.2965297976163443,2.23304052173964,3.2480674765443776,0.9574373912061389,0.792989627316796
22gc0112_0.36454_445c0207_-0.36454.wav,6.086327368212399,7.766367254913758,3.712406628837842,3.199863903898841,4.045581461912191,3.221933914677831,3.8972139633681526,0.9231978638494958,3.9105707287101126,4.417561310970802,1.4025109864601517,2.529724659631471,3.5985768166340515,1.771295251524497,0.36955436610551895
421c020x_2.4971_444c020n_-2.4971.wav,7.870433666335659,5.056806531877588,3.533961244918884,4.0580515870756555,2.480400893080182,4.175412498188096,2.5738161838138622,1.6984479296468897,5.058317235751854,3.98376587206039,1.7760844768240038,3.735976892049605,3.237619449051406,1.5691838208681488,0.4687060662938613
